short_name,first_name,year_turned_pro,weight_in_kg,bib_number,racing_age,rider_url,picture_url
"Sutherland , R.",Rory,2004,77,71,30,http://uhcprocycling.com/rory-sutherland/,http://www.uhcprocycling.com/static/portraits2012/RorySutherland.jpg
"Tschopp, J.",Johann,2004,61,25,30,http://www.bmcracingteam.com/team/rider-bios/johann-tschopp/,http://www.bmcracingteam.com/typo3temp/pics/473f861904.jpg
"Tvetcov, S.",Serghei,,,147,24,http://teamexergy.com/project/serge/,http://teamexergy.com/wp-content/Prestige_temp/projects/sergi_post_1329340996.jpg
"VandeVelde, C.",Christian,1998,70,16,36,http://www.slipstreamsports.com/garmin-slipstream-pro-team/pro-men/christian-vande-velde,http://www.slipstreamsports.com/wp-content/uploads/2012/06/pro_racers_ccv.jpg
"Velits, M.",Martin,2007,72,2,27,http://www.omegapharma-quickstep.com/en/team/rider/martin-velits,http://www.omegapharma-quickstep.com/images/riders/rider_46/640X430/e5f5a8037ef01a3f9f40d61c6728835a.jpg
"Velits, P.",Peter,2007,65,3,27,http://www.omegapharma-quickstep.com/en/team/rider/peter-velits,http://www.omegapharma-quickstep.com/images/riders/rider_47/640X430/8884ca40d170e7581b4b925e301a1a98.jpg
"Vennell, J.",Jeremy,2007,75,112,32,http://www.bissellprocycling.com/jeremy-vennell,http://www.bissellprocycling.com/assets/501217/vennell.jpg
"Voigt, J.",Jens,,77,37,41,http://www.radioshacknissantrek.com/team/riders/jens-voigt,http://www.radioshacknissantrek.com/sites/default/files/rider-image/jens_voigt.jpg
"Wurf, C.",Cameron,2009,71,107,29,http://teamchampionsystem.com/team_detail.php?id=50,
"Xu, G.",Gang,2002,70,108,28,http://teamchampionsystem.com/team_detail.php?id=34,http://teamchampionsystem.com/getimage.php?size=400x&location=/file/athletes34.jpg&to_be_crop=1
"Zabriskie, D.",David,2001,70,17,33,http://www.slipstreamsports.com/garmin-slipstream-pro-team/david-zabriskie,http://www.slipstreamsports.com/wp-content/uploads/2012/06/pro_racers_dz.jpg
"Zaugg, O.",Olivier,2004,57,38,31,http://www.radioshacknissantrek.com/team/riders/oliver-zaugg,http://www.radioshacknissantrek.com/sites/default/files/rider-image/oliver_zaugg.jpg
"Zirbel, T.",Thomas,2006,91,125,34,http://www.optumprocycling.com/teams/thomas-zirbel/,http://www.optumprocycling.com/wp-content/files_mf/1328292037mriderstzirbel.jpg
"Zubov, M.",Matvey,2012,72,61,21,http://www.rusveloteam.com/team/41.html,http://www.rusveloteam.com/images/team/Zubov.jpg
